Date,region,Case,Count
2020-03-14,Medina,Active cases,0
2020-03-14,Najran,Active cases,0
2020-03-14,Northern Borders,Active cases,0
2020-03-14,Qassim,Active cases,0
2020-03-14,Riyadh,Active cases,16
2020-03-14,Tabuk,Active cases,0
2020-03-15,Al Bahah,Active cases,0
2020-03-15,Al Jouf,Active cases,0
2020-03-15,Asir,Active cases,0
2020-03-15,Eastern Region,Active cases,44
2020-03-15,Hail,Active cases,0
2020-03-15,Jazan,Active cases,0
2020-03-15,Mecca,Active cases,53
2020-03-15,Medina,Active cases,0
2020-03-15,Najran,Active cases,0
2020-03-15,Northern Borders,Active cases,0
2020-03-15,Qassim,Active cases,0
2020-03-15,Riyadh,Active cases,18
2020-03-15,Tabuk,Active cases,0
2020-03-16,Al Bahah,Active cases,0
2020-03-16,Al Jouf,Active cases,0
2020-03-16,Asir,Active cases,0
2020-03-16,Eastern Region,Active cases,43
2020-03-16,Hail,Active cases,0
2020-03-16,Jazan,Active cases,2
2020-03-16,Mecca,Active cases,60
2020-03-16,Medina,Active cases,0
2020-03-16,Najran,Active cases,0
2020-03-16,Northern Borders,Active cases,0
2020-03-16,Qassim,Active cases,0
2020-03-16,Riyadh,Active cases,22
2020-03-16,Tabuk,Active cases,0
2020-03-17,Al Bahah,Active cases,0
2020-03-17,Al Jouf,Active cases,0
2020-03-17,Asir,Active cases,0
2020-03-17,Eastern Region,Active cases,56
2020-03-17,Hail,Active cases,0
2020-03-17,Jazan,Active cases,2
2020-03-17,Mecca,Active cases,66
2020-03-17,Medina,Active cases,0
2020-03-17,Najran,Active cases,0
2020-03-17,Northern Borders,Active cases,0
2020-03-17,Qassim,Active cases,0
2020-03-17,Riyadh,Active cases,41
2020-03-17,Tabuk,Active cases,0
2020-03-18,Al Bahah,Active cases,0
2020-03-18,Al Jouf,Active cases,0
2020-03-18,Asir,Active cases,1
2020-03-18,Eastern Region,Active cases,77
2020-03-18,Hail,Active cases,0
2020-03-18,Jazan,Active cases,2
2020-03-18,Mecca,Active cases,90
2020-03-18,Medina,Active cases,0
2020-03-18,Najran,Active cases,0
2020-03-18,Northern Borders,Active cases,0
2020-03-18,Qassim,Active cases,0
2020-03-18,Riyadh,Active cases,60
2020-03-18,Tabuk,Active cases,0
2020-03-19,Al Bahah,Active cases,0
2020-03-19,Al Jouf,Active cases,0
2020-03-19,Asir,Active cases,2
2020-03-19,Eastern Region,Active cases,87
2020-03-19,Hail,Active cases,0
2020-03-19,Jazan,Active cases,2
2020-03-19,Mecca,Active cases,94
2020-03-19,Medina,Active cases,0
2020-03-19,Najran,Active cases,0
2020-03-19,Northern Borders,Active cases,0
2020-03-19,Qassim,Active cases,0
2020-03-19,Riyadh,Active cases,81
2020-03-19,Tabuk,Active cases,0
2020-03-20,Al Bahah,Active cases,1
2020-03-20,Al Jouf,Active cases,0
2020-03-20,Asir,Active cases,3
2020-03-20,Eastern Region,Active cases,91
2020-03-20,Hail,Active cases,0
2020-03-20,Jazan,Active cases,2
2020-03-20,Mecca,Active cases,107
2020-03-20,Medina,Active cases,1
2020-03-20,Najran,Active cases,0
2020-03-20,Northern Borders,Active cases,0
2020-03-20,Qassim,Active cases,0
2020-03-20,Riyadh,Active cases,130
2020-03-20,Tabuk,Active cases,1
2020-03-21,Al Bahah,Active cases,1
2020-03-21,Al Jouf,Active cases,0
2020-03-21,Asir,Active cases,3
2020-03-21,Eastern Region,Active cases,94
2020-03-21,Hail,Active cases,0
2020-03-21,Jazan,Active cases,2
2020-03-21,Mecca,Active cases,108
2020-03-21,Medina,Active cases,1
2020-03-21,Najran,Active cases,0
2020-03-21,Northern Borders,Active cases,0
2020-03-21,Qassim,Active cases,0
2020-03-21,Riyadh,Active cases,158
2020-03-21,Tabuk,Active cases,1
2020-03-22,Al Bahah,Active cases,1
2020-03-22,Al Jouf,Active cases,0
2020-03-22,Asir,Active cases,3
2020-03-22,Eastern Region,Active cases,106
2020-03-22,Hail,Active cases,0
2020-03-22,Jazan,Active cases,2
2020-03-22,Mecca,Active cases,180
2020-03-22,Medina,Active cases,1
2020-03-22,Najran,Active cases,0
2020-03-22,Northern Borders,Active cases,0
2020-03-22,Qassim,Active cases,1
2020-03-22,Riyadh,Active cases,192
2020-03-22,Tabuk,Active cases,1
2020-03-23,Al Bahah,Active cases,1
2020-03-23,Al Jouf,Active cases,0
2020-03-23,Asir,Active cases,8
2020-03-23,Eastern Region,Active cases,112
2020-03-23,Hail,Active cases,0
2020-03-23,Jazan,Active cases,4
2020-03-23,Mecca,Active cases,199
2020-03-23,Medina,Active cases,1
2020-03-23,Najran,Active cases,1
2020-03-23,Northern Borders,Active cases,0
2020-03-23,Qassim,Active cases,1
2020-03-23,Riyadh,Active cases,210
2020-03-23,Tabuk,Active cases,1
2020-03-24,Al Bahah,Active cases,13
2020-03-24,Al Jouf,Active cases,0
2020-03-24,Asir,Active cases,22
2020-03-24,Eastern Region,Active cases,127
2020-03-24,Hail,Active cases,0
2020-03-24,Jazan,Active cases,7
2020-03-24,Mecca,Active cases,278
