Date,City,Cases,Mortalities,Recoveries
2020-03-09,Nairyah,0,0,0
2020-03-09,Qaryat Al Ulya,0,0,0
2020-03-09,Qatif,3,0,0
2020-03-09,Ras Tanura,0,0,0
2020-03-09,Safwa,0,0,0
2020-03-09,Saihat,0,0,0
2020-03-09,Salwa,0,0,0
2020-03-09,Samodah,0,0,0
2020-03-09,Urayarah,0,0,0
2020-03-10,AL Oyoun,0,0,0
2020-03-10,Adh Dhibiyyah,0,0,0
2020-03-10,Al Batahaa,0,0,0
2020-03-10,Al Jafr,0,0,0
2020-03-10,Al Mubarraz,0,0,0
2020-03-10,Al Qaysomah,0,0,0
2020-03-10,Al Suyariah,0,0,0
2020-03-10,Ar Ruqi,0,0,0
2020-03-10,As Sufairy,0,0,0
2020-03-10,Bqeeq,0,0,0
2020-03-10,Dahran,0,0,0
2020-03-10,Dammam,4,0,0
2020-03-10,Hafr Al Batin,0,0,0
2020-03-10,Hardh,0,0,0
2020-03-10,Hufof,0,0,0
2020-03-10,Jubail,0,0,0
2020-03-10,Khafji,0,0,0
2020-03-10,Khobar,0,0,0
2020-03-10,Mulayjah,0,0,0
2020-03-10,Nairyah,0,0,0
2020-03-10,Qaryat Al Ulya,0,0,0
2020-03-10,Qatif,0,0,0
2020-03-10,Ras Tanura,0,0,0
2020-03-10,Safwa,0,0,0
2020-03-10,Saihat,0,0,0
2020-03-10,Salwa,0,0,0
2020-03-10,Samodah,0,0,0
2020-03-10,Urayarah,0,0,0
2020-03-12,AL Oyoun,0,0,0
2020-03-12,Adh Dhibiyyah,0,0,0
2020-03-12,Al Batahaa,0,0,0
2020-03-12,Al Jafr,0,0,0
2020-03-12,Al Mubarraz,0,0,0
2020-03-12,Al Qaysomah,0,0,0
2020-03-12,Al Suyariah,0,0,0
2020-03-12,Ar Ruqi,0,0,0
2020-03-12,As Sufairy,0,0,0
2020-03-12,Bqeeq,0,0,0
2020-03-12,Dahran,0,0,0
2020-03-12,Dammam,0,0,0
2020-03-12,Hafr Al Batin,0,0,0
2020-03-12,Hardh,0,0,0
2020-03-12,Hufof,0,0,0
2020-03-12,Jubail,0,0,0
2020-03-12,Khafji,0,0,0
2020-03-12,Khobar,0,0,0
2020-03-12,Mulayjah,0,0,0
2020-03-12,Nairyah,0,0,0
2020-03-12,Qaryat Al Ulya,0,0,0
2020-03-12,Qatif,3,0,1
2020-03-12,Ras Tanura,0,0,0
2020-03-12,Safwa,0,0,0
2020-03-12,Saihat,0,0,0
2020-03-12,Salwa,0,0,0
2020-03-12,Samodah,0,0,0
2020-03-12,Urayarah,0,0,0
2020-03-13,AL Oyoun,0,0,0
2020-03-13,Adh Dhibiyyah,0,0,0
2020-03-13,Al Batahaa,0,0,0
2020-03-13,Al Jafr,0,0,0
2020-03-13,Al Mubarraz,0,0,0
2020-03-13,Al Qaysomah,0,0,0
2020-03-13,Al Suyariah,0,0,0
2020-03-13,Ar Ruqi,0,0,0
2020-03-13,As Sufairy,0,0,0
2020-03-13,Bqeeq,0,0,0
2020-03-13,Dahran,0,0,0
2020-03-13,Dammam,7,0,0
2020-03-13,Hafr Al Batin,0,0,0
2020-03-13,Hardh,0,0,0
2020-03-13,Hufof,1,0,0
2020-03-13,Jubail,0,0,0
2020-03-13,Khafji,0,0,0
2020-03-13,Khobar,0,0,0
2020-03-13,Mulayjah,0,0,0
2020-03-13,Nairyah,0,0,0
2020-03-13,Qaryat Al Ulya,0,0,0
2020-03-13,Qatif,3,0,0
2020-03-13,Ras Tanura,0,0,0
2020-03-13,Safwa,0,0,0
2020-03-13,Saihat,0,0,0
2020-03-13,Salwa,0,0,0
