Date,region,Case,Count
2020-03-17,Eastern Region,Cases,13
2020-03-17,Hail,Cases,0
2020-03-17,Jazan,Cases,0
2020-03-17,Mecca,Cases,6
2020-03-17,Medina,Cases,0
2020-03-17,Najran,Cases,0
2020-03-17,Northern Borders,Cases,0
2020-03-17,Qassim,Cases,0
2020-03-17,Riyadh,Cases,19
2020-03-17,Tabuk,Cases,0
2020-03-18,Al Bahah,Cases,0
2020-03-18,Al Jouf,Cases,0
2020-03-18,Asir,Cases,1
2020-03-18,Eastern Region,Cases,23
2020-03-18,Hail,Cases,0
2020-03-18,Jazan,Cases,0
2020-03-18,Mecca,Cases,24
2020-03-18,Medina,Cases,0
2020-03-18,Najran,Cases,0
2020-03-18,Northern Borders,Cases,0
2020-03-18,Qassim,Cases,0
2020-03-18,Riyadh,Cases,19
2020-03-18,Tabuk,Cases,0
2020-03-19,Al Bahah,Cases,0
2020-03-19,Al Jouf,Cases,0
2020-03-19,Asir,Cases,1
2020-03-19,Eastern Region,Cases,10
2020-03-19,Hail,Cases,0
2020-03-19,Jazan,Cases,0
2020-03-19,Mecca,Cases,4
2020-03-19,Medina,Cases,0
2020-03-19,Najran,Cases,0
2020-03-19,Northern Borders,Cases,0
2020-03-19,Qassim,Cases,0
2020-03-19,Riyadh,Cases,21
2020-03-19,Tabuk,Cases,0
2020-03-20,Al Bahah,Cases,1
2020-03-20,Al Jouf,Cases,0
2020-03-20,Asir,Cases,1
2020-03-20,Eastern Region,Cases,4
2020-03-20,Hail,Cases,0
2020-03-20,Jazan,Cases,0
2020-03-20,Mecca,Cases,13
2020-03-20,Medina,Cases,1
2020-03-20,Najran,Cases,0
2020-03-20,Northern Borders,Cases,0
2020-03-20,Qassim,Cases,0
2020-03-20,Riyadh,Cases,49
2020-03-20,Tabuk,Cases,1
2020-03-21,Al Bahah,Cases,0
2020-03-21,Al Jouf,Cases,0
2020-03-21,Asir,Cases,0
2020-03-21,Eastern Region,Cases,5
2020-03-21,Hail,Cases,0
2020-03-21,Jazan,Cases,0
2020-03-21,Mecca,Cases,7
2020-03-21,Medina,Cases,0
2020-03-21,Najran,Cases,0
2020-03-21,Northern Borders,Cases,0
2020-03-21,Qassim,Cases,0
2020-03-21,Riyadh,Cases,36
2020-03-21,Tabuk,Cases,0
2020-03-22,Al Bahah,Cases,0
2020-03-22,Al Jouf,Cases,0
2020-03-22,Asir,Cases,0
2020-03-22,Eastern Region,Cases,12
2020-03-22,Hail,Cases,0
2020-03-22,Jazan,Cases,0
2020-03-22,Mecca,Cases,72
2020-03-22,Medina,Cases,0
2020-03-22,Najran,Cases,0
2020-03-22,Northern Borders,Cases,0
2020-03-22,Qassim,Cases,1
2020-03-22,Riyadh,Cases,34
2020-03-22,Tabuk,Cases,0
2020-03-23,Al Bahah,Cases,0
2020-03-23,Al Jouf,Cases,0
2020-03-23,Asir,Cases,5
2020-03-23,Eastern Region,Cases,6
2020-03-23,Hail,Cases,0
2020-03-23,Jazan,Cases,2
2020-03-23,Mecca,Cases,19
2020-03-23,Medina,Cases,0
2020-03-23,Najran,Cases,1
2020-03-23,Northern Borders,Cases,0
2020-03-23,Qassim,Cases,0
2020-03-23,Riyadh,Cases,18
2020-03-23,Tabuk,Cases,0
2020-03-24,Al Bahah,Cases,12
2020-03-24,Al Jouf,Cases,0
2020-03-24,Asir,Cases,14
2020-03-24,Eastern Region,Cases,16
2020-03-24,Hail,Cases,0
2020-03-24,Jazan,Cases,3
2020-03-24,Mecca,Cases,82
2020-03-24,Medina,Cases,1
2020-03-24,Najran,Cases,8
2020-03-24,Northern Borders,Cases,0
2020-03-24,Qassim,Cases,0
2020-03-24,Riyadh,Cases,69
2020-03-24,Tabuk,Cases,0
2020-03-25,Al Bahah,Cases,0
2020-03-25,Al Jouf,Cases,0
2020-03-25,Asir,Cases,2
2020-03-25,Eastern Region,Cases,26
2020-03-25,Hail,Cases,0
2020-03-25,Jazan,Cases,0
2020-03-25,Mecca,Cases,10
2020-03-25,Medina,Cases,6
2020-03-25,Najran,Cases,4
2020-03-25,Northern Borders,Cases,2
2020-03-25,Qassim,Cases,0
2020-03-25,Riyadh,Cases,83
2020-03-25,Tabuk,Cases,0
2020-03-26,Al Bahah,Cases,0
2020-03-26,Al Jouf,Cases,0
2020-03-26,Asir,Cases,0
2020-03-26,Eastern Region,Cases,17
2020-03-26,Hail,Cases,0
2020-03-26,Jazan,Cases,0
2020-03-26,Mecca,Cases,57
2020-03-26,Medina,Cases,3
2020-03-26,Najran,Cases,0
2020-03-26,Northern Borders,Cases,0
2020-03-26,Qassim,Cases,1
2020-03-26,Riyadh,Cases,34
2020-03-26,Tabuk,Cases,0
2020-03-27,Al Bahah,Cases,0
2020-03-27,Al Jouf,Cases,0
2020-03-27,Asir,Cases,0
2020-03-27,Eastern Region,Cases,18
2020-03-27,Hail,Cases,0
2020-03-27,Jazan,Cases,0
2020-03-27,Mecca,Cases,7
2020-03-27,Medina,Cases,19
2020-03-27,Najran,Cases,0
2020-03-27,Northern Borders,Cases,0
2020-03-27,Qassim,Cases,2
2020-03-27,Riyadh,Cases,46
2020-03-27,Tabuk,Cases,0
2020-03-28,Al Bahah,Cases,0
2020-03-28,Al Jouf,Cases,0
2020-03-28,Asir,Cases,4
2020-03-28,Eastern Region,Cases,15
2020-03-28,Hail,Cases,0
2020-03-28,Jazan,Cases,0
2020-03-28,Mecca,Cases,30
2020-03-28,Medina,Cases,6
2020-03-28,Najran,Cases,0
2020-03-28,Northern Borders,Cases,0
2020-03-28,Qassim,Cases,0
2020-03-28,Riyadh,Cases,41
2020-03-28,Tabuk,Cases,3
2020-03-29,Al Bahah,Cases,0
2020-03-29,Al Jouf,Cases,0
2020-03-29,Asir,Cases,1
2020-03-29,Eastern Region,Cases,33
2020-03-29,Hail,Cases,0
2020-03-29,Jazan,Cases,0
2020-03-29,Mecca,Cases,20
2020-03-29,Medina,Cases,14
2020-03-29,Najran,Cases,0
2020-03-29,Northern Borders,Cases,0
2020-03-29,Qassim,Cases,0
2020-03-29,Riyadh,Cases,27
2020-03-29,Tabuk,Cases,1
2020-03-30,Al Bahah,Cases,0
2020-03-30,Al Jouf,Cases,0
2020-03-30,Asir,Cases,1
2020-03-30,Eastern Region,Cases,52
2020-03-30,Hail,Cases,0
2020-03-30,Jazan,Cases,1
2020-03-30,Mecca,Cases,51
2020-03-30,Medina,Cases,23
2020-03-30,Najran,Cases,0
2020-03-30,Northern Borders,Cases,0
2020-03-30,Qassim,Cases,2
2020-03-30,Riyadh,Cases,23
2020-03-30,Tabuk,Cases,1
2020-03-31,Al Bahah,Cases,0
2020-03-31,Al Jouf,Cases,0
2020-03-31,Asir,Cases,2
2020-03-31,Eastern Region,Cases,20
2020-03-31,Hail,Cases,0
2020-03-31,Jazan,Cases,2
2020-03-31,Mecca,Cases,49
2020-03-31,Medina,Cases,3
2020-03-31,Najran,Cases,0
2020-03-31,Northern Borders,Cases,0
2020-03-31,Qassim,Cases,1
2020-03-31,Riyadh,Cases,33
2020-03-31,Tabuk,Cases,0
2020-04-01,Al Bahah,Cases,0
2020-04-01,Al Jouf,Cases,0
2020-04-01,Asir,Cases,0
2020-04-01,Eastern Region,Cases,9
2020-04-01,Hail,Cases,0
2020-04-01,Jazan,Cases,0
2020-04-01,Mecca,Cases,60
2020-04-01,Medina,Cases,78
2020-04-01,Najran,Cases,0
2020-04-01,Northern Borders,Cases,0
2020-04-01,Qassim,Cases,1
2020-04-01,Riyadh,Cases,7
2020-04-01,Tabuk,Cases,2
2020-04-02,Al Bahah,Cases,0
2020-04-02,Al Jouf,Cases,0
2020-04-02,Asir,Cases,10
2020-04-02,Eastern Region,Cases,24
2020-04-02,Hail,Cases,0
2020-04-02,Jazan,Cases,0
2020-04-02,Mecca,Cases,78
2020-04-02,Medina,Cases,46
2020-04-02,Najran,Cases,0
2020-04-02,Northern Borders,Cases,0
2020-04-02,Qassim,Cases,0
2020-04-02,Riyadh,Cases,7
2020-04-02,Tabuk,Cases,0
2020-04-03,Al Bahah,Cases,0
2020-04-03,Al Jouf,Cases,0
2020-04-03,Asir,Cases,3
2020-04-03,Eastern Region,Cases,19
2020-04-03,Hail,Cases,0
2020-04-03,Jazan,Cases,0
2020-04-03,Mecca,Cases,51
2020-04-03,Medina,Cases,34
2020-04-03,Najran,Cases,3
2020-04-03,Northern Borders,Cases,0
2020-04-03,Qassim,Cases,12
2020-04-03,Riyadh,Cases,13
2020-04-03,Tabuk,Cases,19
2020-04-04,Al Bahah,Cases,0
2020-04-04,Al Jouf,Cases,0
2020-04-04,Asir,Cases,2
2020-04-04,Eastern Region,Cases,32
2020-04-04,Hail,Cases,0
