Date,City,Active cases,Cases,Mortalities,Recoveries,CFR Percent,Recovary Percent
2020-03-05,Qatif,5,5,0,0,0.0,0.0
2020-03-05,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-05,Safwa,0,0,0,0,0.0,0.0
2020-03-05,Saihat,0,0,0,0,0.0,0.0
2020-03-05,Salwa,0,0,0,0,0.0,0.0
2020-03-05,Samodah,0,0,0,0,0.0,0.0
2020-03-05,Urayarah,0,0,0,0,0.0,0.0
2020-03-06,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-06,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-06,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-06,Al Jafr,0,0,0,0,0.0,0.0
2020-03-06,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-06,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-06,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-06,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-06,As Sufairy,0,0,0,0,0.0,0.0
2020-03-06,Bqeeq,0,0,0,0,0.0,0.0
2020-03-06,Dahran,0,0,0,0,0.0,0.0
2020-03-06,Dammam,0,0,0,0,0.0,0.0
2020-03-06,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-06,Hardh,0,0,0,0,0.0,0.0
2020-03-06,Hufof,0,0,0,0,0.0,0.0
2020-03-06,Jubail,0,0,0,0,0.0,0.0
2020-03-06,Khafji,0,0,0,0,0.0,0.0
2020-03-06,Khobar,0,0,0,0,0.0,0.0
2020-03-06,Mulayjah,0,0,0,0,0.0,0.0
2020-03-06,Nairyah,0,0,0,0,0.0,0.0
2020-03-06,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-06,Qatif,5,5,0,0,0.0,0.0
2020-03-06,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-06,Safwa,0,0,0,0,0.0,0.0
2020-03-06,Saihat,0,0,0,0,0.0,0.0
2020-03-06,Salwa,0,0,0,0,0.0,0.0
2020-03-06,Samodah,0,0,0,0,0.0,0.0
2020-03-06,Urayarah,0,0,0,0,0.0,0.0
2020-03-07,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-07,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-07,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-07,Al Jafr,0,0,0,0,0.0,0.0
2020-03-07,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-07,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-07,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-07,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-07,As Sufairy,0,0,0,0,0.0,0.0
2020-03-07,Bqeeq,0,0,0,0,0.0,0.0
2020-03-07,Dahran,0,0,0,0,0.0,0.0
2020-03-07,Dammam,0,0,0,0,0.0,0.0
2020-03-07,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-07,Hardh,0,0,0,0,0.0,0.0
2020-03-07,Hufof,0,0,0,0,0.0,0.0
2020-03-07,Jubail,0,0,0,0,0.0,0.0
2020-03-07,Khafji,0,0,0,0,0.0,0.0
2020-03-07,Khobar,0,0,0,0,0.0,0.0
2020-03-07,Mulayjah,0,0,0,0,0.0,0.0
2020-03-07,Nairyah,0,0,0,0,0.0,0.0
2020-03-07,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-07,Qatif,7,7,0,0,0.0,0.0
2020-03-07,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-07,Safwa,0,0,0,0,0.0,0.0
2020-03-07,Saihat,0,0,0,0,0.0,0.0
2020-03-07,Salwa,0,0,0,0,0.0,0.0
2020-03-07,Samodah,0,0,0,0,0.0,0.0
2020-03-07,Urayarah,0,0,0,0,0.0,0.0
2020-03-08,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-08,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-08,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-08,Al Jafr,0,0,0,0,0.0,0.0
2020-03-08,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-08,Al Qaysomah,0,0,0,0,0.0,0.0
