Date,region,Active cases,Cases,Mortalities,Recoveries,CFR Percent,Recovary Percent
2020-03-10,Mecca,1,1,0,0,0.0,0.0
2020-03-10,Medina,0,0,0,0,0.0,0.0
2020-03-10,Najran,0,0,0,0,0.0,0.0
2020-03-10,Northern Borders,0,0,0,0,0.0,0.0
2020-03-10,Qassim,0,0,0,0,0.0,0.0
2020-03-10,Riyadh,1,1,0,0,0.0,0.0
2020-03-10,Tabuk,0,0,0,0,0.0,0.0
2020-03-11,Al Bahah,0,0,0,0,0.0,0.0
2020-03-11,Al Jouf,0,0,0,0,0.0,0.0
2020-03-11,Asir,0,0,0,0,0.0,0.0
2020-03-11,Eastern Region,18,18,0,0,0.0,0.0
2020-03-11,Hail,0,0,0,0,0.0,0.0
2020-03-11,Jazan,0,0,0,0,0.0,0.0
2020-03-11,Mecca,2,2,0,0,0.0,0.0
2020-03-11,Medina,0,0,0,0,0.0,0.0
2020-03-11,Najran,0,0,0,0,0.0,0.0
2020-03-11,Northern Borders,0,0,0,0,0.0,0.0
2020-03-11,Qassim,0,0,0,0,0.0,0.0
2020-03-11,Riyadh,1,1,0,0,0.0,0.0
2020-03-11,Tabuk,0,0,0,0,0.0,0.0
2020-03-12,Al Bahah,0,0,0,0,0.0,0.0
2020-03-12,Al Jouf,0,0,0,0,0.0,0.0
2020-03-12,Asir,0,0,0,0,0.0,0.0
2020-03-12,Eastern Region,20,21,0,1,0.0,4.761904761904762
2020-03-12,Hail,0,0,0,0,0.0,0.0
2020-03-12,Jazan,0,0,0,0,0.0,0.0
2020-03-12,Mecca,23,23,0,0,0.0,0.0
2020-03-12,Medina,0,0,0,0,0.0,0.0
2020-03-12,Najran,0,0,0,0,0.0,0.0
2020-03-12,Northern Borders,0,0,0,0,0.0,0.0
2020-03-12,Qassim,0,0,0,0,0.0,0.0
2020-03-12,Riyadh,1,1,0,0,0.0,0.0
2020-03-12,Tabuk,0,0,0,0,0.0,0.0
2020-03-13,Al Bahah,0,0,0,0,0.0,0.0
2020-03-13,Al Jouf,0,0,0,0,0.0,0.0
2020-03-13,Asir,0,0,0,0,0.0,0.0
2020-03-13,Eastern Region,31,32,0,1,0.0,3.125
2020-03-13,Hail,0,0,0,0,0.0,0.0
2020-03-13,Jazan,0,0,0,0,0.0,0.0
2020-03-13,Mecca,50,50,0,0,0.0,0.0
2020-03-13,Medina,0,0,0,0,0.0,0.0
2020-03-13,Najran,0,0,0,0,0.0,0.0
2020-03-13,Northern Borders,0,0,0,0,0.0,0.0
2020-03-13,Qassim,0,0,0,0,0.0,0.0
2020-03-13,Riyadh,4,4,0,0,0.0,0.0
2020-03-13,Tabuk,0,0,0,0,0.0,0.0
2020-03-14,Al Bahah,0,0,0,0,0.0,0.0
2020-03-14,Al Jouf,0,0,0,0,0.0,0.0
2020-03-14,Asir,0,0,0,0,0.0,0.0
2020-03-14,Eastern Region,34,36,0,2,0.0,5.555555555555555
2020-03-14,Hail,0,0,0,0,0.0,0.0
2020-03-14,Jazan,0,0,0,0,0.0,0.0
2020-03-14,Mecca,51,51,0,0,0.0,0.0
2020-03-14,Medina,0,0,0,0,0.0,0.0
2020-03-14,Najran,0,0,0,0,0.0,0.0
2020-03-14,Northern Borders,0,0,0,0,0.0,0.0
2020-03-14,Qassim,0,0,0,0,0.0,0.0
2020-03-14,Riyadh,16,16,0,0,0.0,0.0
2020-03-14,Tabuk,0,0,0,0,0.0,0.0
2020-03-15,Al Bahah,0,0,0,0,0.0,0.0
2020-03-15,Al Jouf,0,0,0,0,0.0,0.0
2020-03-15,Asir,0,0,0,0,0.0,0.0
2020-03-15,Eastern Region,44,47,0,3,0.0,6.382978723404255
2020-03-15,Hail,0,0,0,0,0.0,0.0
2020-03-15,Jazan,0,0,0,0,0.0,0.0
2020-03-15,Mecca,53,53,0,0,0.0,0.0
2020-03-15,Medina,0,0,0,0,0.0,0.0
2020-03-15,Najran,0,0,0,0,0.0,0.0
2020-03-15,Northern Borders,0,0,0,0,0.0,0.0
2020-03-15,Qassim,0,0,0,0,0.0,0.0
2020-03-15,Riyadh,18,18,0,0,0.0,0.0
2020-03-15,Tabuk,0,0,0,0,0.0,0.0
2020-03-16,Al Bahah,0,0,0,0,0.0,0.0
2020-03-16,Al Jouf,0,0,0,0,0.0,0.0
2020-03-16,Asir,0,0,0,0,0.0,0.0
2020-03-16,Eastern Region,43,49,0,6,0.0,12.244897959183673
2020-03-16,Hail,0,0,0,0,0.0,0.0
2020-03-16,Jazan,2,2,0,0,0.0,0.0
2020-03-16,Mecca,60,60,0,0,0.0,0.0
2020-03-16,Medina,0,0,0,0,0.0,0.0
2020-03-16,Najran,0,0,0,0,0.0,0.0
2020-03-16,Northern Borders,0,0,0,0,0.0,0.0
2020-03-16,Qassim,0,0,0,0,0.0,0.0
2020-03-16,Riyadh,22,22,0,0,0.0,0.0
2020-03-16,Tabuk,0,0,0,0,0.0,0.0
2020-03-17,Al Bahah,0,0,0,0,0.0,0.0
2020-03-17,Al Jouf,0,0,0,0,0.0,0.0
2020-03-17,Asir,0,0,0,0,0.0,0.0
2020-03-17,Eastern Region,56,62,0,6,0.0,9.67741935483871
2020-03-17,Hail,0,0,0,0,0.0,0.0
2020-03-17,Jazan,2,2,0,0,0.0,0.0
2020-03-17,Mecca,66,66,0,0,0.0,0.0
2020-03-17,Medina,0,0,0,0,0.0,0.0
2020-03-17,Najran,0,0,0,0,0.0,0.0
2020-03-17,Northern Borders,0,0,0,0,0.0,0.0
2020-03-17,Qassim,0,0,0,0,0.0,0.0
2020-03-17,Riyadh,41,41,0,0,0.0,0.0
2020-03-17,Tabuk,0,0,0,0,0.0,0.0
2020-03-18,Al Bahah,0,0,0,0,0.0,0.0
2020-03-18,Al Jouf,0,0,0,0,0.0,0.0
2020-03-18,Asir,1,1,0,0,0.0,0.0
2020-03-18,Eastern Region,77,85,0,8,0.0,9.411764705882353
2020-03-18,Hail,0,0,0,0,0.0,0.0
2020-03-18,Jazan,2,2,0,0,0.0,0.0
2020-03-18,Mecca,90,90,0,0,0.0,0.0
2020-03-18,Medina,0,0,0,0,0.0,0.0
2020-03-18,Najran,0,0,0,0,0.0,0.0
2020-03-18,Northern Borders,0,0,0,0,0.0,0.0
2020-03-18,Qassim,0,0,0,0,0.0,0.0
2020-03-18,Riyadh,60,60,0,0,0.0,0.0
2020-03-18,Tabuk,0,0,0,0,0.0,0.0
2020-03-19,Al Bahah,0,0,0,0,0.0,0.0
2020-03-19,Al Jouf,0,0,0,0,0.0,0.0
2020-03-19,Asir,2,2,0,0,0.0,0.0
2020-03-19,Eastern Region,87,95,0,8,0.0,8.421052631578947
2020-03-19,Hail,0,0,0,0,0.0,0.0
2020-03-19,Jazan,2,2,0,0,0.0,0.0
2020-03-19,Mecca,94,94,0,0,0.0,0.0
2020-03-19,Medina,0,0,0,0,0.0,0.0
2020-03-19,Najran,0,0,0,0,0.0,0.0
2020-03-19,Northern Borders,0,0,0,0,0.0,0.0
2020-03-19,Qassim,0,0,0,0,0.0,0.0
