Date,City,Case,Count
2020-03-09,Qaryat Al Ulya,Cases,0
2020-03-09,Qatif,Cases,3
2020-03-09,Ras Tanura,Cases,0
2020-03-09,Safwa,Cases,0
2020-03-09,Saihat,Cases,0
2020-03-09,Salwa,Cases,0
2020-03-09,Samodah,Cases,0
2020-03-09,Urayarah,Cases,0
2020-03-10,AL Oyoun,Cases,0
2020-03-10,Adh Dhibiyyah,Cases,0
2020-03-10,Al Batahaa,Cases,0
2020-03-10,Al Jafr,Cases,0
2020-03-10,Al Mubarraz,Cases,0
2020-03-10,Al Qaysomah,Cases,0
2020-03-10,Al Suyariah,Cases,0
2020-03-10,Ar Ruqi,Cases,0
2020-03-10,As Sufairy,Cases,0
2020-03-10,Bqeeq,Cases,0
2020-03-10,Dahran,Cases,0
2020-03-10,Dammam,Cases,4
2020-03-10,Hafr Al Batin,Cases,0
2020-03-10,Hardh,Cases,0
2020-03-10,Hufof,Cases,0
2020-03-10,Jubail,Cases,0
2020-03-10,Khafji,Cases,0
2020-03-10,Khobar,Cases,0
2020-03-10,Mulayjah,Cases,0
2020-03-10,Nairyah,Cases,0
2020-03-10,Qaryat Al Ulya,Cases,0
2020-03-10,Qatif,Cases,0
2020-03-10,Ras Tanura,Cases,0
2020-03-10,Safwa,Cases,0
2020-03-10,Saihat,Cases,0
2020-03-10,Salwa,Cases,0
2020-03-10,Samodah,Cases,0
2020-03-10,Urayarah,Cases,0
2020-03-12,AL Oyoun,Cases,0
2020-03-12,Adh Dhibiyyah,Cases,0
2020-03-12,Al Batahaa,Cases,0
2020-03-12,Al Jafr,Cases,0
2020-03-12,Al Mubarraz,Cases,0
2020-03-12,Al Qaysomah,Cases,0
2020-03-12,Al Suyariah,Cases,0
2020-03-12,Ar Ruqi,Cases,0
2020-03-12,As Sufairy,Cases,0
2020-03-12,Bqeeq,Cases,0
2020-03-12,Dahran,Cases,0
2020-03-12,Dammam,Cases,0
2020-03-12,Hafr Al Batin,Cases,0
2020-03-12,Hardh,Cases,0
2020-03-12,Hufof,Cases,0
2020-03-12,Jubail,Cases,0
2020-03-12,Khafji,Cases,0
2020-03-12,Khobar,Cases,0
2020-03-12,Mulayjah,Cases,0
2020-03-12,Nairyah,Cases,0
2020-03-12,Qaryat Al Ulya,Cases,0
2020-03-12,Qatif,Cases,3
2020-03-12,Ras Tanura,Cases,0
2020-03-12,Safwa,Cases,0
2020-03-12,Saihat,Cases,0
2020-03-12,Salwa,Cases,0
2020-03-12,Samodah,Cases,0
2020-03-12,Urayarah,Cases,0
2020-03-13,AL Oyoun,Cases,0
2020-03-13,Adh Dhibiyyah,Cases,0
2020-03-13,Al Batahaa,Cases,0
2020-03-13,Al Jafr,Cases,0
2020-03-13,Al Mubarraz,Cases,0
2020-03-13,Al Qaysomah,Cases,0
2020-03-13,Al Suyariah,Cases,0
2020-03-13,Ar Ruqi,Cases,0
2020-03-13,As Sufairy,Cases,0
2020-03-13,Bqeeq,Cases,0
2020-03-13,Dahran,Cases,0
2020-03-13,Dammam,Cases,7
2020-03-13,Hafr Al Batin,Cases,0
2020-03-13,Hardh,Cases,0
2020-03-13,Hufof,Cases,1
2020-03-13,Jubail,Cases,0
2020-03-13,Khafji,Cases,0
2020-03-13,Khobar,Cases,0
2020-03-13,Mulayjah,Cases,0
2020-03-13,Nairyah,Cases,0
2020-03-13,Qaryat Al Ulya,Cases,0
2020-03-13,Qatif,Cases,3
2020-03-13,Ras Tanura,Cases,0
2020-03-13,Safwa,Cases,0
2020-03-13,Saihat,Cases,0
2020-03-13,Salwa,Cases,0
2020-03-13,Samodah,Cases,0
2020-03-13,Urayarah,Cases,0
2020-03-14,AL Oyoun,Cases,0
2020-03-14,Adh Dhibiyyah,Cases,0
2020-03-14,Al Batahaa,Cases,0
2020-03-14,Al Jafr,Cases,0
2020-03-14,Al Mubarraz,Cases,0
2020-03-14,Al Qaysomah,Cases,0
2020-03-14,Al Suyariah,Cases,0
2020-03-14,Ar Ruqi,Cases,0
2020-03-14,As Sufairy,Cases,0
2020-03-14,Bqeeq,Cases,0
2020-03-14,Dahran,Cases,0
2020-03-14,Dammam,Cases,0
2020-03-14,Hafr Al Batin,Cases,0
2020-03-14,Hardh,Cases,0
2020-03-14,Hufof,Cases,1
2020-03-14,Jubail,Cases,0
2020-03-14,Khafji,Cases,0
2020-03-14,Khobar,Cases,0
2020-03-14,Mulayjah,Cases,0
2020-03-14,Nairyah,Cases,0
2020-03-14,Qaryat Al Ulya,Cases,0
2020-03-14,Qatif,Cases,3
2020-03-14,Ras Tanura,Cases,0
2020-03-14,Safwa,Cases,0
2020-03-14,Saihat,Cases,0
2020-03-14,Salwa,Cases,0
2020-03-14,Samodah,Cases,0
2020-03-14,Urayarah,Cases,0
2020-03-15,AL Oyoun,Cases,0
2020-03-15,Adh Dhibiyyah,Cases,0
2020-03-15,Al Batahaa,Cases,0
2020-03-15,Al Jafr,Cases,0
2020-03-15,Al Mubarraz,Cases,0
2020-03-15,Al Qaysomah,Cases,0
2020-03-15,Al Suyariah,Cases,0
2020-03-15,Ar Ruqi,Cases,0
2020-03-15,As Sufairy,Cases,0
2020-03-15,Bqeeq,Cases,0
2020-03-15,Dahran,Cases,3
2020-03-15,Dammam,Cases,1
2020-03-15,Hafr Al Batin,Cases,0
2020-03-15,Hardh,Cases,0
2020-03-15,Hufof,Cases,0
2020-03-15,Jubail,Cases,0
2020-03-15,Khafji,Cases,0
2020-03-15,Khobar,Cases,0
2020-03-15,Mulayjah,Cases,0
2020-03-15,Nairyah,Cases,0
2020-03-15,Qaryat Al Ulya,Cases,0
2020-03-15,Qatif,Cases,7
2020-03-15,Ras Tanura,Cases,0
2020-03-15,Safwa,Cases,0
2020-03-15,Saihat,Cases,0
2020-03-15,Salwa,Cases,0
2020-03-15,Samodah,Cases,0
2020-03-15,Urayarah,Cases,0
2020-03-16,AL Oyoun,Cases,0
2020-03-16,Adh Dhibiyyah,Cases,0
2020-03-16,Al Batahaa,Cases,0
2020-03-16,Al Jafr,Cases,0
2020-03-16,Al Mubarraz,Cases,0
2020-03-16,Al Qaysomah,Cases,0
2020-03-16,Al Suyariah,Cases,0
2020-03-16,Ar Ruqi,Cases,0
2020-03-16,As Sufairy,Cases,0
2020-03-16,Bqeeq,Cases,0
2020-03-16,Dahran,Cases,1
2020-03-16,Dammam,Cases,0
2020-03-16,Hafr Al Batin,Cases,0
2020-03-16,Hardh,Cases,0
2020-03-16,Hufof,Cases,0
2020-03-16,Jubail,Cases,0
2020-03-16,Khafji,Cases,0
2020-03-16,Khobar,Cases,0
2020-03-16,Mulayjah,Cases,0
2020-03-16,Nairyah,Cases,0
2020-03-16,Qaryat Al Ulya,Cases,0
2020-03-16,Qatif,Cases,1
2020-03-16,Ras Tanura,Cases,0
2020-03-16,Safwa,Cases,0
2020-03-16,Saihat,Cases,0
2020-03-16,Salwa,Cases,0
2020-03-16,Samodah,Cases,0
2020-03-16,Urayarah,Cases,0
2020-03-17,AL Oyoun,Cases,0
2020-03-17,Adh Dhibiyyah,Cases,0
2020-03-17,Al Batahaa,Cases,0
2020-03-17,Al Jafr,Cases,0
2020-03-17,Al Mubarraz,Cases,0
2020-03-17,Al Qaysomah,Cases,0
2020-03-17,Al Suyariah,Cases,0
2020-03-17,Ar Ruqi,Cases,0
2020-03-17,As Sufairy,Cases,0
2020-03-17,Bqeeq,Cases,0
2020-03-17,Dahran,Cases,3
2020-03-17,Dammam,Cases,0
2020-03-17,Hafr Al Batin,Cases,0
2020-03-17,Hardh,Cases,0
2020-03-17,Hufof,Cases,0
2020-03-17,Jubail,Cases,0
2020-03-17,Khafji,Cases,0
2020-03-17,Khobar,Cases,0
2020-03-17,Mulayjah,Cases,0
2020-03-17,Nairyah,Cases,0
2020-03-17,Qaryat Al Ulya,Cases,0
2020-03-17,Qatif,Cases,10
2020-03-17,Ras Tanura,Cases,0
2020-03-17,Safwa,Cases,0
2020-03-17,Saihat,Cases,0
2020-03-17,Salwa,Cases,0
2020-03-17,Samodah,Cases,0
2020-03-17,Urayarah,Cases,0
2020-03-18,AL Oyoun,Cases,0
2020-03-18,Adh Dhibiyyah,Cases,0
2020-03-18,Al Batahaa,Cases,0
2020-03-18,Al Jafr,Cases,0
2020-03-18,Al Mubarraz,Cases,0
2020-03-18,Al Qaysomah,Cases,0
2020-03-18,Al Suyariah,Cases,0
2020-03-18,Ar Ruqi,Cases,0
2020-03-18,As Sufairy,Cases,0
2020-03-18,Bqeeq,Cases,0
2020-03-18,Dahran,Cases,0
2020-03-18,Dammam,Cases,23
2020-03-18,Hafr Al Batin,Cases,0
2020-03-18,Hardh,Cases,0
2020-03-18,Hufof,Cases,0
2020-03-18,Jubail,Cases,0
2020-03-18,Khafji,Cases,0
2020-03-18,Khobar,Cases,0
2020-03-18,Mulayjah,Cases,0
2020-03-18,Nairyah,Cases,0
2020-03-18,Qaryat Al Ulya,Cases,0
2020-03-18,Qatif,Cases,0
2020-03-18,Ras Tanura,Cases,0
2020-03-18,Safwa,Cases,0
2020-03-18,Saihat,Cases,0
2020-03-18,Salwa,Cases,0
2020-03-18,Samodah,Cases,0
2020-03-18,Urayarah,Cases,0
2020-03-19,AL Oyoun,Cases,0
2020-03-19,Adh Dhibiyyah,Cases,0
2020-03-19,Al Batahaa,Cases,0
2020-03-19,Al Jafr,Cases,0
2020-03-19,Al Mubarraz,Cases,0
2020-03-19,Al Qaysomah,Cases,0
2020-03-19,Al Suyariah,Cases,0
2020-03-19,Ar Ruqi,Cases,0
2020-03-19,As Sufairy,Cases,0
2020-03-19,Bqeeq,Cases,0
2020-03-19,Dahran,Cases,1
2020-03-19,Dammam,Cases,3
2020-03-19,Hafr Al Batin,Cases,0
2020-03-19,Hardh,Cases,0
2020-03-19,Hufof,Cases,2
2020-03-19,Jubail,Cases,0
2020-03-19,Khafji,Cases,0
2020-03-19,Khobar,Cases,0
2020-03-19,Mulayjah,Cases,0
2020-03-19,Nairyah,Cases,0
2020-03-19,Qaryat Al Ulya,Cases,0
2020-03-19,Qatif,Cases,4
2020-03-19,Ras Tanura,Cases,0
2020-03-19,Safwa,Cases,0
2020-03-19,Saihat,Cases,0
2020-03-19,Salwa,Cases,0
2020-03-19,Samodah,Cases,0
2020-03-19,Urayarah,Cases,0
2020-03-20,AL Oyoun,Cases,0
2020-03-20,Adh Dhibiyyah,Cases,0
2020-03-20,Al Batahaa,Cases,0
2020-03-20,Al Jafr,Cases,0
2020-03-20,Al Mubarraz,Cases,0
2020-03-20,Al Qaysomah,Cases,0
2020-03-20,Al Suyariah,Cases,0
2020-03-20,Ar Ruqi,Cases,0
2020-03-20,As Sufairy,Cases,0
2020-03-20,Bqeeq,Cases,0
2020-03-20,Dahran,Cases,1
2020-03-20,Dammam,Cases,1
2020-03-20,Hafr Al Batin,Cases,1
2020-03-20,Hardh,Cases,0
2020-03-20,Hufof,Cases,0
2020-03-20,Jubail,Cases,0
2020-03-20,Khafji,Cases,0
2020-03-20,Khobar,Cases,0
2020-03-20,Mulayjah,Cases,0
2020-03-20,Nairyah,Cases,0
2020-03-20,Qaryat Al Ulya,Cases,0
2020-03-20,Qatif,Cases,1
2020-03-20,Ras Tanura,Cases,0
2020-03-20,Safwa,Cases,0
2020-03-20,Saihat,Cases,0
2020-03-20,Salwa,Cases,0
2020-03-20,Samodah,Cases,0
2020-03-20,Urayarah,Cases,0
2020-03-21,AL Oyoun,Cases,0
2020-03-21,Adh Dhibiyyah,Cases,0
2020-03-21,Al Batahaa,Cases,0
2020-03-21,Al Jafr,Cases,0
2020-03-21,Al Mubarraz,Cases,0
2020-03-21,Al Qaysomah,Cases,0
2020-03-21,Al Suyariah,Cases,0
2020-03-21,Ar Ruqi,Cases,0
2020-03-21,As Sufairy,Cases,0
2020-03-21,Bqeeq,Cases,0
2020-03-21,Dahran,Cases,1
2020-03-21,Dammam,Cases,0
2020-03-21,Hafr Al Batin,Cases,0
2020-03-21,Hardh,Cases,0
2020-03-21,Hufof,Cases,2
2020-03-21,Jubail,Cases,0
2020-03-21,Khafji,Cases,0
2020-03-21,Khobar,Cases,0
2020-03-21,Mulayjah,Cases,0
2020-03-21,Nairyah,Cases,1
2020-03-21,Qaryat Al Ulya,Cases,0
2020-03-21,Qatif,Cases,1
2020-03-21,Ras Tanura,Cases,0
2020-03-21,Safwa,Cases,0
2020-03-21,Saihat,Cases,0
2020-03-21,Salwa,Cases,0
2020-03-21,Samodah,Cases,0
2020-03-21,Urayarah,Cases,0
2020-03-22,AL Oyoun,Cases,0
2020-03-22,Adh Dhibiyyah,Cases,0
2020-03-22,Al Batahaa,Cases,0
2020-03-22,Al Jafr,Cases,0
2020-03-22,Al Mubarraz,Cases,0
2020-03-22,Al Qaysomah,Cases,0
2020-03-22,Al Suyariah,Cases,0
2020-03-22,Ar Ruqi,Cases,0
2020-03-22,As Sufairy,Cases,0
2020-03-22,Bqeeq,Cases,0
2020-03-22,Dahran,Cases,1
2020-03-22,Dammam,Cases,1
2020-03-22,Hafr Al Batin,Cases,0
2020-03-22,Hardh,Cases,0
2020-03-22,Hufof,Cases,3
2020-03-22,Jubail,Cases,0
2020-03-22,Khafji,Cases,0
2020-03-22,Khobar,Cases,3
2020-03-22,Mulayjah,Cases,0
2020-03-22,Nairyah,Cases,0
2020-03-22,Qaryat Al Ulya,Cases,0
2020-03-22,Qatif,Cases,4
2020-03-22,Ras Tanura,Cases,0
2020-03-22,Safwa,Cases,0
2020-03-22,Saihat,Cases,0
2020-03-22,Salwa,Cases,0
2020-03-22,Samodah,Cases,0
2020-03-22,Urayarah,Cases,0
2020-03-23,AL Oyoun,Cases,0
2020-03-23,Adh Dhibiyyah,Cases,0
2020-03-23,Al Batahaa,Cases,0
2020-03-23,Al Jafr,Cases,0
2020-03-23,Al Mubarraz,Cases,0
2020-03-23,Al Qaysomah,Cases,0
2020-03-23,Al Suyariah,Cases,0
2020-03-23,Ar Ruqi,Cases,0
2020-03-23,As Sufairy,Cases,0
2020-03-23,Bqeeq,Cases,0
2020-03-23,Dahran,Cases,0
2020-03-23,Dammam,Cases,3
2020-03-23,Hafr Al Batin,Cases,0
2020-03-23,Hardh,Cases,0
2020-03-23,Hufof,Cases,0
2020-03-23,Jubail,Cases,0
2020-03-23,Khafji,Cases,0
2020-03-23,Khobar,Cases,0
2020-03-23,Mulayjah,Cases,0
2020-03-23,Nairyah,Cases,0
2020-03-23,Qaryat Al Ulya,Cases,0
2020-03-23,Qatif,Cases,3
2020-03-23,Ras Tanura,Cases,0
2020-03-23,Safwa,Cases,0
2020-03-23,Saihat,Cases,0
2020-03-23,Salwa,Cases,0
2020-03-23,Samodah,Cases,0
2020-03-23,Urayarah,Cases,0
2020-03-24,AL Oyoun,Cases,0
2020-03-24,Adh Dhibiyyah,Cases,0
2020-03-24,Al Batahaa,Cases,0
2020-03-24,Al Jafr,Cases,0
2020-03-24,Al Mubarraz,Cases,0
2020-03-24,Al Qaysomah,Cases,0
2020-03-24,Al Suyariah,Cases,0
2020-03-24,Ar Ruqi,Cases,0
2020-03-24,As Sufairy,Cases,0
2020-03-24,Bqeeq,Cases,0
2020-03-24,Dahran,Cases,2
2020-03-24,Dammam,Cases,6
2020-03-24,Hafr Al Batin,Cases,0
2020-03-24,Hardh,Cases,0
2020-03-24,Hufof,Cases,0
2020-03-24,Jubail,Cases,0
2020-03-24,Khafji,Cases,0
2020-03-24,Khobar,Cases,2
2020-03-24,Mulayjah,Cases,0
2020-03-24,Nairyah,Cases,0
2020-03-24,Qaryat Al Ulya,Cases,0
2020-03-24,Qatif,Cases,6
2020-03-24,Ras Tanura,Cases,0
2020-03-24,Safwa,Cases,0
2020-03-24,Saihat,Cases,0
2020-03-24,Salwa,Cases,0
2020-03-24,Samodah,Cases,0
2020-03-24,Urayarah,Cases,0
2020-03-25,AL Oyoun,Cases,0
2020-03-25,Adh Dhibiyyah,Cases,0
2020-03-25,Al Batahaa,Cases,0
2020-03-25,Al Jafr,Cases,0
2020-03-25,Al Mubarraz,Cases,0
2020-03-25,Al Qaysomah,Cases,0
2020-03-25,Al Suyariah,Cases,0
2020-03-25,Ar Ruqi,Cases,0
2020-03-25,As Sufairy,Cases,0
2020-03-25,Bqeeq,Cases,0
2020-03-25,Dahran,Cases,1
2020-03-25,Dammam,Cases,13
2020-03-25,Hafr Al Batin,Cases,0
2020-03-25,Hardh,Cases,0
2020-03-25,Hufof,Cases,0
2020-03-25,Jubail,Cases,1
2020-03-25,Khafji,Cases,0
2020-03-25,Khobar,Cases,5
2020-03-25,Mulayjah,Cases,0
2020-03-25,Nairyah,Cases,0
2020-03-25,Qaryat Al Ulya,Cases,0
2020-03-25,Qatif,Cases,6
2020-03-25,Ras Tanura,Cases,0
2020-03-25,Safwa,Cases,0
2020-03-25,Saihat,Cases,0
2020-03-25,Salwa,Cases,0
2020-03-25,Samodah,Cases,0
2020-03-25,Urayarah,Cases,0
2020-03-26,AL Oyoun,Cases,0
2020-03-26,Adh Dhibiyyah,Cases,0
2020-03-26,Al Batahaa,Cases,0
2020-03-26,Al Jafr,Cases,0
2020-03-26,Al Mubarraz,Cases,0
