Date,City,Case,Count
2020-03-07,Hafr Al Batin,Active cases,0
2020-03-07,Hardh,Active cases,0
2020-03-07,Hufof,Active cases,0
2020-03-07,Jubail,Active cases,0
2020-03-07,Khafji,Active cases,0
2020-03-07,Khobar,Active cases,0
2020-03-07,Mulayjah,Active cases,0
2020-03-07,Nairyah,Active cases,0
2020-03-07,Qaryat Al Ulya,Active cases,0
2020-03-07,Qatif,Active cases,7
2020-03-07,Ras Tanura,Active cases,0
2020-03-07,Safwa,Active cases,0
2020-03-07,Saihat,Active cases,0
2020-03-07,Salwa,Active cases,0
2020-03-07,Samodah,Active cases,0
2020-03-07,Urayarah,Active cases,0
2020-03-08,AL Oyoun,Active cases,0
2020-03-08,Adh Dhibiyyah,Active cases,0
2020-03-08,Al Batahaa,Active cases,0
2020-03-08,Al Jafr,Active cases,0
2020-03-08,Al Mubarraz,Active cases,0
2020-03-08,Al Qaysomah,Active cases,0
2020-03-08,Al Suyariah,Active cases,0
2020-03-08,Ar Ruqi,Active cases,0
2020-03-08,As Sufairy,Active cases,0
2020-03-08,Bqeeq,Active cases,0
2020-03-08,Dahran,Active cases,0
2020-03-08,Dammam,Active cases,0
2020-03-08,Hafr Al Batin,Active cases,0
2020-03-08,Hardh,Active cases,0
2020-03-08,Hufof,Active cases,0
2020-03-08,Jubail,Active cases,0
2020-03-08,Khafji,Active cases,0
2020-03-08,Khobar,Active cases,0
2020-03-08,Mulayjah,Active cases,0
2020-03-08,Nairyah,Active cases,0
2020-03-08,Qaryat Al Ulya,Active cases,0
2020-03-08,Qatif,Active cases,11
2020-03-08,Ras Tanura,Active cases,0
2020-03-08,Safwa,Active cases,0
2020-03-08,Saihat,Active cases,0
2020-03-08,Salwa,Active cases,0
2020-03-08,Samodah,Active cases,0
2020-03-08,Urayarah,Active cases,0
2020-03-09,AL Oyoun,Active cases,0
2020-03-09,Adh Dhibiyyah,Active cases,0
2020-03-09,Al Batahaa,Active cases,0
2020-03-09,Al Jafr,Active cases,0
2020-03-09,Al Mubarraz,Active cases,0
2020-03-09,Al Qaysomah,Active cases,0
2020-03-09,Al Suyariah,Active cases,0
2020-03-09,Ar Ruqi,Active cases,0
2020-03-09,As Sufairy,Active cases,0
2020-03-09,Bqeeq,Active cases,0
2020-03-09,Dahran,Active cases,0
2020-03-09,Dammam,Active cases,0
2020-03-09,Hafr Al Batin,Active cases,0
2020-03-09,Hardh,Active cases,0
2020-03-09,Hufof,Active cases,0
2020-03-09,Jubail,Active cases,0
2020-03-09,Khafji,Active cases,0
2020-03-09,Khobar,Active cases,0
2020-03-09,Mulayjah,Active cases,0
2020-03-09,Nairyah,Active cases,0
2020-03-09,Qaryat Al Ulya,Active cases,0
2020-03-09,Qatif,Active cases,14
2020-03-09,Ras Tanura,Active cases,0
2020-03-09,Safwa,Active cases,0
2020-03-09,Saihat,Active cases,0
2020-03-09,Salwa,Active cases,0
2020-03-09,Samodah,Active cases,0
2020-03-09,Urayarah,Active cases,0
2020-03-10,AL Oyoun,Active cases,0
2020-03-10,Adh Dhibiyyah,Active cases,0
2020-03-10,Al Batahaa,Active cases,0
2020-03-10,Al Jafr,Active cases,0
2020-03-10,Al Mubarraz,Active cases,0
2020-03-10,Al Qaysomah,Active cases,0
2020-03-10,Al Suyariah,Active cases,0
2020-03-10,Ar Ruqi,Active cases,0
2020-03-10,As Sufairy,Active cases,0
2020-03-10,Bqeeq,Active cases,0
2020-03-10,Dahran,Active cases,0
2020-03-10,Dammam,Active cases,4
2020-03-10,Hafr Al Batin,Active cases,0
2020-03-10,Hardh,Active cases,0
2020-03-10,Hufof,Active cases,0
2020-03-10,Jubail,Active cases,0
2020-03-10,Khafji,Active cases,0
2020-03-10,Khobar,Active cases,0
2020-03-10,Mulayjah,Active cases,0
2020-03-10,Nairyah,Active cases,0
2020-03-10,Qaryat Al Ulya,Active cases,0
2020-03-10,Qatif,Active cases,14
2020-03-10,Ras Tanura,Active cases,0
2020-03-10,Safwa,Active cases,0
2020-03-10,Saihat,Active cases,0
2020-03-10,Salwa,Active cases,0
2020-03-10,Samodah,Active cases,0
2020-03-10,Urayarah,Active cases,0
2020-03-11,AL Oyoun,Active cases,0
2020-03-11,Adh Dhibiyyah,Active cases,0
2020-03-11,Al Batahaa,Active cases,0
2020-03-11,Al Jafr,Active cases,0
2020-03-11,Al Mubarraz,Active cases,0
2020-03-11,Al Qaysomah,Active cases,0
2020-03-11,Al Suyariah,Active cases,0
2020-03-11,Ar Ruqi,Active cases,0
2020-03-11,As Sufairy,Active cases,0
2020-03-11,Bqeeq,Active cases,0
2020-03-11,Dahran,Active cases,0
2020-03-11,Dammam,Active cases,4
2020-03-11,Hafr Al Batin,Active cases,0
2020-03-11,Hardh,Active cases,0
2020-03-11,Hufof,Active cases,0
2020-03-11,Jubail,Active cases,0
2020-03-11,Khafji,Active cases,0
2020-03-11,Khobar,Active cases,0
2020-03-11,Mulayjah,Active cases,0
2020-03-11,Nairyah,Active cases,0
2020-03-11,Qaryat Al Ulya,Active cases,0
2020-03-11,Qatif,Active cases,14
2020-03-11,Ras Tanura,Active cases,0
2020-03-11,Safwa,Active cases,0
2020-03-11,Saihat,Active cases,0
2020-03-11,Salwa,Active cases,0
